day,value
2008-12-22, 67.45852
2008-12-23, 83.15427
2008-12-24, 80.00454
2008-12-25, 60.93645
2008-12-26, 83.18855
2008-12-27, 77.89153
2008-12-28, 56.66652
2008-12-29, 49.64459
2008-12-30, 59.02559
2008-12-31, 61.27886
